date,nav_118632,nav_118834,nav_118989,nav_119092,nav_119551,nav_120503,nav_120841,nav_122639,nav_125497
2013-09-09,12.9802,12.229,16.299,25.4408,103.5778,14.4284,31.6505,9.7627,
2013-09-10,13.3471,12.419,16.533,25.4483,103.7133,14.8613,31.733,9.8876,
2013-09-11,13.4542,12.554,16.762,25.4558,103.7462,14.9458,31.7662,9.9697,
2013-09-12,13.3458,12.476,16.692,25.4632,103.7831,14.8835,31.7783,10.0016,
2013-09-13,13.3653,12.516,16.734,25.4707,103.8036,14.8914,31.8004,10.04,
2013-09-14,13.3653,12.516,16.734,25.4707,103.8036,14.8914,31.8004,10.04,
2013-09-15,13.3653,12.516,16.734,25.4852,103.8036,14.8914,31.8004,10.04,
2013-09-16,13.2876,12.47,16.644,25.4927,103.8949,14.8783,31.8692,10.0314,
2013-09-17,13.3498,12.436,16.582,25.5003,103.2261,14.9042,31.8351,10.0447,
2013-09-18,13.4428,12.491,16.736,25.5079,103.3108,14.9935,31.8899,10.1245,
2013-09-19,13.819,12.773,17.077,25.5168,103.4545,15.3962,32.0075,10.2081,
2013-09-20,13.6366,12.664,16.935,25.5251,103.5346,15.2064,31.934,10.162,
2013-09-21,13.6366,12.664,16.935,25.5251,103.5346,15.2064,31.934,10.162,
2013-09-22,13.6366,12.664,16.935,25.5398,103.5346,15.2064,31.934,10.162,
2013-09-23,13.408,12.52,16.712,25.5472,103.594,14.9949,31.8585,10.0588,
2013-09-24,13.3638,12.543,16.801,25.5544,103.6,15.0645,31.8426,10.0423,
2013-09-25,13.355,12.558,16.861,25.5616,103.6534,14.9967,31.8851,10.0896,
2013-09-26,13.3434,12.562,16.84,25.5691,103.6866,14.9804,31.916,10.1112,
2013-09-27,13.2945,12.567,16.812,25.5767,103.724,14.9389,31.9532,10.1148,
2013-09-28,13.2945,12.567,16.812,25.5767,103.724,14.9389,31.9532,10.1148,
2013-09-29,13.2945,12.567,16.812,25.5911,103.724,14.9389,31.9532,10.1148,
2013-09-30,13.1286,12.509,16.712,25.5987,103.7595,14.8343,31.9301,10.1415,
2013-10-01,13.2715,12.628,16.871,25.6067,103.2655,14.9575,31.9686,10.189,
2013-10-02,13.2715,12.628,16.871,25.6141,103.2655,14.9575,31.974,10.189,
2013-10-03,13.5608,12.822,17.145,25.6214,103.3443,15.1916,32.0673,10.2037,
2013-10-04,13.5546,12.88,17.234,25.629,103.4092,15.2672,32.0989,10.1524,
2013-10-05,13.5546,12.88,17.234,25.629,103.4092,15.2672,32.0989,10.1524,
2013-10-06,13.5546,12.88,17.234,25.6434,103.4092,15.2672,32.0989,10.1524,
2013-10-07,13.6097,12.958,17.379,25.6508,103.5211,15.3439,32.1285,10.1578,
2013-10-08,13.6174,12.989,17.395,25.6587,103.7122,15.3869,32.2513,10.1417,
2013-10-09,13.7175,13.152,17.63,25.6659,103.7191,15.6088,32.3213,10.125,
2013-10-10,13.7388,13.277,17.751,25.673,103.7396,15.6447,32.301,10.1775,
